Graph,Vertices,Edges,Solver,Time elapsed,Memory usage,Success,Colors
rgg_n_2_22_s0.graph.fast,4194304,60740255,RandomSelectionSolver (1 threads),7878.27,0.00,1,23
rgg_n_2_22_s0.graph.fast,4194304,60740255,RandomSelectionSolver (2 threads),4067.29,2.00,1,22
rgg_n_2_22_s0.graph.fast,4194304,60740255,RandomSelectionSolver (4 threads),2790.63,8.00,1,21
rgg_n_2_23_s0.graph.fast,8388608,127024811,SequentialSolver,17031.42,40.13,1,23
rgg_n_2_23_s0.graph.fast,8388608,127024811,LubySolver (1 threads),107563.15,385.57,1,25
rgg_n_2_23_s0.graph.fast,8388608,127024811,LubySolver (2 threads),94310.82,69.46,1,23
rgg_n_2_23_s0.graph.fast,8388608,127024811,LubySolver (4 threads),88790.39,107.44,1,23
rgg_n_2_23_s0.graph.fast,8388608,127024811,JonesSolver (1 threads),9311.80,0.00,1,23
rgg_n_2_23_s0.graph.fast,8388608,127024811,JonesSolver (2 threads),5970.79,0.00,1,23
rgg_n_2_23_s0.graph.fast,8388608,127024811,JonesSolver (4 threads),5090.54,8.00,1,23
rgg_n_2_23_s0.graph.fast,8388608,127024811,SDLSolver (1 threads),8612.39,44.00,1,23
rgg_n_2_23_s0.graph.fast,8388608,127024811,SDLSolver (2 threads),4558.03,30.00,1,23
rgg_n_2_23_s0.graph.fast,8388608,127024811,SDLSolver (4 threads),3591.19,30.00,1,23
rgg_n_2_23_s0.graph.fast,8388608,127024811,LDFSolver (1 threads),9584.31,32.00,1,23
rgg_n_2_23_s0.graph.fast,8388608,127024811,LDFSolver (2 threads),4930.17,0.00,1,23
rgg_n_2_23_s0.graph.fast,8388608,127024811,LDFSolver (4 threads),4106.43,8.00,1,23
rgg_n_2_23_s0.graph.fast,8388608,127024811,FVFSolver (1 threads),6291.33,0.00,1,24
rgg_n_2_23_s0.graph.fast,8388608,127024811,FVFSolver (2 threads),3225.56,0.00,1,24
rgg_n_2_23_s0.graph.fast,8388608,127024811,FVFSolver (4 threads),2753.34,8.00,1,24
rgg_n_2_23_s0.graph.fast,8388608,127024811,RandomSelectionSolver (1 threads),17351.43,32.00,1,23
rgg_n_2_23_s0.graph.fast,8388608,127024811,RandomSelectionSolver (2 threads),9144.28,4.00,1,23
rgg_n_2_23_s0.graph.fast,8388608,127024811,RandomSelectionSolver (4 threads),5698.88,8.00,1,22
rgg_n_2_24_s0.graph.fast,16777216,265136282,SequentialSolver,36878.40,8.13,1,24
rgg_n_2_24_s0.graph.fast,16777216,265136282,LubySolver (1 threads),235712.41,104.88,1,24
rgg_n_2_24_s0.graph.fast,16777216,265136282,LubySolver (2 threads),206560.93,140.96,1,24
rgg_n_2_24_s0.graph.fast,16777216,265136282,LubySolver (4 threads),193805.56,131.32,1,25
rgg_n_2_24_s0.graph.fast,16777216,265136282,JonesSolver (1 threads),20227.14,0.00,1,24
rgg_n_2_24_s0.graph.fast,16777216,265136282,JonesSolver (2 threads),12685.97,0.00,1,24
rgg_n_2_24_s0.graph.fast,16777216,265136282,JonesSolver (4 threads),10849.56,8.00,1,24
rgg_n_2_24_s0.graph.fast,16777216,265136282,SDLSolver (1 threads),18213.82,96.01,1,25
rgg_n_2_24_s0.graph.fast,16777216,265136282,SDLSolver (2 threads),9675.94,90.01,1,25
rgg_n_2_24_s0.graph.fast,16777216,265136282,SDLSolver (4 threads),7626.41,62.00,1,25
rgg_n_2_24_s0.graph.fast,16777216,265136282,LDFSolver (1 threads),20034.38,96.01,1,22
rgg_n_2_24_s0.graph.fast,16777216,265136282,LDFSolver (2 threads),10453.60,64.01,1,22
rgg_n_2_24_s0.graph.fast,16777216,265136282,LDFSolver (4 threads),8532.14,8.00,1,22
rgg_n_2_24_s0.graph.fast,16777216,265136282,FVFSolver (1 threads),12901.79,0.00,1,24
rgg_n_2_24_s0.graph.fast,16777216,265136282,FVFSolver (2 threads),6628.77,0.00,1,24
rgg_n_2_24_s0.graph.fast,16777216,265136282,FVFSolver (4 threads),5646.36,8.00,1,24
rgg_n_2_24_s0.graph.fast,16777216,265136282,RandomSelectionSolver (1 threads),37339.42,64.00,1,24
rgg_n_2_24_s0.graph.fast,16777216,265136282,RandomSelectionSolver (2 threads),19178.56,64.01,1,23
rgg_n_2_24_s0.graph.fast,16777216,265136282,RandomSelectionSolver (4 threads),12127.27,8.00,1,23
